timestamp,close,PriceOneYearAgo,PriceSixMonthsAgo,PriceThreeMonthsAgo,PriceOneMonthAgo,PriceTwoWeeksAgo,PriceOneWeekAgo
2024-11-16,"90558,47","36154,76","65231,58","58894,10","67612,72","69289,27","76778,86"
2024-11-15,"91066,00","37880,58","66267,49","57560,09","67041,10","69482,46","76545,47"
2024-11-14,"87250,43","35537,64","61552,79","58737,27","66046,12","70215,18","75904,85"
2024-11-13,"90584,16","36502,35","62901,44","60609,56","62851,37","72339,54","75639,07"
2024-11-12,"87955,80","37054,52","61448,39","59354,51","63193,02","72720,49","69359,56"
2024-11-11,"88701,48","37138,05","60793,70","58719,48","62445,08","69907,75","67811,50"
2024-11-10,"80474,18","37313,96","60792,77","60945,81","60274,49","67929,29","68741,11"
2024-11-09,"76778,86","36693,12","63049,95","60880,11","60582,10","67014,69","69289,27"
2024-11-08,"76545,47","35655,27","61187,94","61710,13","62131,96","66642,41","69482,46"
2024-11-07,"75904,85","35443,56","62334,81","55027,46","62236,65","68161,05","70215,18"
2024-11-06,"75639,07","35037,36","63161,95","56034,31","62818,95","66432,19","72339,54"
2024-11-05,"69359,56","35049,35","64031,13","53991,45","62089,94","67361,40","72720,49"
2024-11-04,"67811,50","35082,19","63891,47","58116,97","62067,47","67367,85","69907,75"
2024-11-03,"68741,11","34732,32","62889,83","60680,09","60759,40","69001,70","67929,29"
2024-11-02,"69289,27","34938,24","59123,43","61415,06","60632,78","68362,73","67014,69"
2024-11-01,"69482,46","35437,25","58254,00","65357,50","60837,00","68418,78","66642,41"
2024-10-31,"70215,18","34667,77","60636,85","64619,24","63329,49","67399,83","68161,05"
2024-10-30,"72339,54","34502,36","60636,85","66201,01","63329,49","67612,72","66432,19"
2024-10-29,"72720,49","34538,48","63841,12","66819,91","65635,30","67041,10","67361,40"
2024-10-28,"69907,75","34089,57","63113,23","68255,86","65887,64","66046,12","67367,85"
2024-10-27,"67929,29","33909,79","63419,14","67813,33","65790,66","62851,37","69001,70"
2024-10-26,"67014,69","34156,64","63755,32","67912,06","65181,02","63193,02","68362,73"
2024-10-25,"66642,41","34502,82","64481,70","65777,22","63143,14","62445,08","68418,78"
2024-10-24,"68161,05","33901,52","64276,89","65372,13","64301,96","60274,49","67399,83"
2024-10-23,"66432,19","33086,23","66407,27","65927,67","63329,80","60582,10","67612,72"
2024-10-22,"67361,40","29993,89","66837,67","67585,24","63648,70","62131,96","67041,10"
2024-10-21,"67367,85","29918,41","64926,64","68154,52","63394,83","62236,65","66046,12"
2024-10-20,"69001,70","29682,94","64994,44","67163,64","63192,97","62818,95","62851,37"
2024-10-19,"68362,73","28719,80","63843,56","66710,15","62940,45","62089,94","63193,02"
